date,time_et,time_sec,event,description,beat_miss,market_direction,category,importance
2025-10-07,00:00,0,US Government Shutdown Day 7,"The US federal government shutdown, which began October 1, 2025 following a failure to pass FY2026 appropriations, entered its 7th consecutive day. Approximately 750,000 non-essential federal employees were furloughed and ~1.4 million worked without pay. The BLS suspended all data collection and publication, creating a major information void for markets and the Fed ahead of the October 29 FOMC meeting. This was the dominant macro backdrop for the entire trading week.",N/A,down,macro,high
2025-10-07,08:30,30600,NFP September 2025 — SUSPENDED (Shutdown),"The September 2025 Nonfarm Payrolls report, originally scheduled for Friday October 3, was not released due to the government shutdown. The BLS suspended all data collection and publication as of October 1. No official employment data was available. The last published NFP figure was August 2025 (+22,000 jobs, unemployment 4.3%). Markets were left relying on private-sector proxies (ADP, ISM employment sub-indices). This absence of data was a major source of uncertainty for equities and rates.",N/A,down,macro,high
2025-10-07,09:30,34200,S&P 500 Trading Session — Risk-Off Tone,"US equity markets opened and traded with a risk-off tone on October 7, consistent with market wrap reports from the date noting 'risk assets saw consequent rejection' during the session. The Dow Jones was cooling off all-time highs as the government shutdown continued. Some dip-buying toward the close partially recovered intraday losses. The S&P 500 finished the month of October up 2.3%, but intra-month there was notable mid-month volatility. The VIX was elevated relative to pre-shutdown levels given the macro data void. The specific single-day SPX move on Oct 7 was mixed/negative but did not constitute a >1% crash.",N/A,mixed,equity_market,medium
2025-10-07,09:30,34200,COST — No Earnings/Sales Release (Next Release Oct 8),"No Costco-specific earnings, guidance, or major analyst action was confirmed on October 7, 2025. Costco's September monthly sales report (covering the 5 weeks ended October 5, 2025) was released on October 8, 2025 — one day later — showing net sales of $26.58 billion, up 8.0% YoY, with comparable sales of +5.7% total company. COST would have been trading on October 7 in anticipation of this imminent sales release. As a consumer staples/defensive name, COST also benefited from shutdown-era 'flight to quality' flows, given its membership-driven, defensive revenue model.",N/A,unknown,costco,medium
2025-10-07,09:30,34200,CPI October 2025 — SUSPENDED (Shutdown),"The October 2025 CPI report (covering September data, originally scheduled for release around October 15) was delayed by the government shutdown. BLS suspended most CPI operations from October 1. Some staff were eventually recalled between October 9-24 to produce the September CPI, which was ultimately released on October 24 (delayed from Oct 15). On October 7, market participants had no CPI visibility, creating uncertainty around inflation expectations and Fed policy ahead of the October 29 FOMC meeting.",N/A,down,macro,high
2025-10-07,09:30,34200,Fed Rate Path Uncertainty — Shutdown Data Void,"With the BLS shutdown suspending NFP, CPI, and other key data releases, the Federal Reserve faced the prospect of entering its October 29 FOMC meeting without updated labor market or inflation data. Markets were pricing in a 25 bps cut at the October meeting (which ultimately occurred, lowering fed funds to 3.75%-4.00%). On October 7, Fed officials were in the quiet period ahead of the October 29 meeting. The data void heightened uncertainty about the pace of easing and kept rates markets volatile.",N/A,mixed,fed,high
2025-10-07,09:30,34200,Treasury Yields — Shutdown/Data Void Impact,"US Treasury yields were under modest downward pressure in early October as the government shutdown created a macro data void and risk-off sentiment. The 10-year yield declined modestly over the course of October (fell ~7 bps across the month). TIPS and inflation-linked securities faced additional uncertainty as CPI releases were delayed, complicating inflation breakeven pricing. Front-end yields reflected growing confidence in a Fed cut at the October 29 meeting.",N/A,down,rates,medium
2025-10-07,10:00,36000,ISM Services PMI September 2025,"The ISM Services PMI for September 2025 was released on October 7 (the 3rd business day of October, per ISM's standard schedule) at 10:00 AM ET. The September reading came in at 50.0%, flat — exactly on the expansion/contraction boundary, down from prior months. The Business Activity Index dropped to 49.9%, slipping into contraction. This was a notably weak reading suggesting the services sector stalled, consistent with softening labor demand and tariff headwinds. Consensus had expected a reading around 51-52%.",miss,down,macro,high
2025-10-09,09:30,34200,US Equity Market Open – Government Shutdown Day 9,"US markets opened on Day 9 of the federal government shutdown (started Oct 1, 2025). All BLS statistical releases (NFP, CPI, PPI, Retail Sales, JOLTS, Initial Jobless Claims) were suspended. Investors were operating in a data vacuum, relying on private-sector proxies. The shutdown was on track to become the longest in US history.",N/A,up,macro,high
2025-10-09,09:30,34200,"No BLS Economic Data – Shutdown Impact (NFP, CPI, PPI, Jobless Claims all blocked)","Due to the federal government shutdown beginning October 1, 2025, the Bureau of Labor Statistics suspended operations. All scheduled macro releases for the week — including Initial Jobless Claims, any CPI/PPI data, and JOLTS — were not published. BLS later confirmed it could not retroactively collect October CPI or employment data, and the October jobs report was never fully released.",N/A,unknown,macro,high
2025-10-09,09:30,34200,COST (Costco) – No Earnings; Post-FY2025 Q4 Earnings Period,"Costco had no earnings release on October 9, 2025. The company's fiscal Q4 FY2025 earnings were reported in late September 2025 (Costco's fiscal year ends in late August/early September). No COST-specific analyst upgrades, downgrades, insider filings, or index changes were identified for this specific date. COST was trading in a range influenced by the broader market rebound and the macro shutdown backdrop. Costco, as a consumer defensive / warehouse club retailer, was a relative beneficiary in the shutdown environment given its membership model and consumer staples exposure.",N/A,up,costco,low
2025-10-09,09:30,34200,Government Shutdown – BLS Staff Recalled for September CPI Work,"The BLS confirmed that some staff were recalled between October 9 and October 24, 2025, specifically to produce the delayed September 2025 CPI report (which was ultimately released on October 24, 2025). This was a notable development as it signaled partial reopening of statistical agency operations for backward-looking data, but October-period data collection remained suspended. Markets viewed this as a positive sign that at least historical data would be published.",N/A,up,macro,medium
2025-10-09,10:00,36000,Fed Chair Powell Welcoming Remarks – Community Bank Conference,"Chair Jerome H. Powell delivered pre-recorded welcoming remarks at the Community Bank Conference hosted at the Federal Reserve Board, Washington D.C. Powell noted he was traveling and could not attend in person. The remarks were ceremonial in nature and did not contain new monetary policy signals. Vice Chair for Supervision Michelle Bowman was the host.",N/A,unknown,fed,low
2025-10-09,14:00,50400,FOMC September 16–17 Minutes Release (carried into Oct 9 trading),"The Federal Reserve released the minutes of the September 16–17, 2025 FOMC meeting on Wednesday October 8 at 2:00 PM ET. Markets on October 9 continued to digest the key signals: financial conditions described as 'not particularly restrictive'; members flagged upside risks to inflation; roughly half of survey respondents expected an additional 25 bps cut at the upcoming October 28–29 meeting. The September meeting had already delivered a 25 bps cut (funds rate lowered to 4.00–4.25%). Markets were pricing a ~94.6% probability of another 25 bps cut at the October meeting.",N/A,up,fed,high
2025-10-09,16:00,57600,S&P 500 Daily Close – New All-Time High,"The S&P 500 jumped +0.6% (+39.13 points) to close at 6,753.72, hitting a new all-time closing high. The Nasdaq Composite gained +1.1% (+255.02 points) to close at 23,043.38. The Dow Jones Industrial Average was essentially flat, declining just 1.20 points to 46,601.78. Six of eleven S&P 500 sectors closed in positive territory, led by Technology (+1.8% via XLK), Industrials (+0.9% via XLI), and Utilities (+0.7% via XLU). The rebound followed a decline in the previous session. NVIDIA gained +2.2% on strong demand commentary from CEO Jensen Huang.",N/A,up,equity_market,high
2025-10-09,16:00,57600,VIX Close – Elevated but Compressing,"The CBOE VIX ended the session around the 16 area, consistent with muted-to-moderate volatility. The VIX had finished September near 16 and had been putting in a series of lower highs since April 2025. Despite the government shutdown creating uncertainty around economic data, implied volatility remained compressed as the S&P 500 rallied to record highs.",N/A,down,equity_market,medium
2025-10-09,16:00,57600,Fed Rate Cut Probability – 94.6% for Oct 28–29 Meeting,"As of October 9, 2025, CME FedWatch Tool was pricing a 94.6% probability of a 25 basis point rate cut at the October 28–29 FOMC meeting, which would bring the federal funds rate to 3.75–4.00%. This pricing was reinforced by the September FOMC minutes (released Oct 8) and the government shutdown blocking new economic data that could have shifted expectations. The September 2025 FOMC had already cut rates 25 bps to 4.00–4.25%.",N/A,up,rates,high
2025-10-09,16:30,59400,Fed H.4.1 Balance Sheet Release,"The Federal Reserve published its weekly H.4.1 statistical release ('Factors Affecting Reserve Balances of Depository Institutions and Condition Statement of Federal Reserve Banks') for the week ending October 9, 2025. This is a standard Thursday 4:30 PM ET release providing data on the Fed's balance sheet size and reserve balances. The October 9 H.4.1 was later cited as reference data in Chair Powell's October 14, 2025 speech on the Fed's balance sheet.",N/A,unknown,fed,low
2025-10-13,08:30,30600,CPI / PPI / NFP – All Canceled/Delayed (Government Shutdown),"Due to the US federal government shutdown in effect since October 1, 2025 (ultimately lasting 43 days through November 12, 2025 – the longest full shutdown in US history), the BLS suspended all active data collection and publication. Key releases that would normally have been scheduled during the week of October 13–17 – including September CPI (originally due October 15), PPI, retail sales, and NFP – were all delayed or canceled. The September CPI was ultimately released late on October 24 via a special staff recall. October CPI was never collected and was permanently cancelled. October PPI data was later bundled with November data in January 2026.",N/A,down,macro,high
2025-10-13,09:30,34200,"S&P 500 Major Selloff – October 13, 2025","The S&P 500 tumbled 2.7% (182.60 points) to close at 6,552.51, its most significant single-day drop since April 10. The Dow Jones fell 1.9% (878.82 points) to 45,479.60. The Nasdaq Composite dropped 2.5%. 10 of 11 S&P 500 sectors ended negative. Technology (XLK) led declines at -4.1%, followed by Energy (XLE) -2.9%, Consumer Discretionary (XLY) -2.8%, Industrials (XLI) -2.2%, and Materials (XLB) -2.1%. Total volume was 24.26 billion shares, above the 20-session average of 20.15 billion. Decliners outnumbered advancers on NYSE by 4.36-to-1.",N/A,down,equity_market,high
2025-10-13,09:30,34200,"VIX Spike – October 13, 2025","The CBOE Volatility Index (VIX) jumped 31.8% to close at 21.66, its highest closing level since June 19, 2025. The extreme spike reflected a sharp surge in fear and uncertainty driven by US-China trade war escalation and the ongoing government shutdown.",N/A,up,equity_market,high
2025-10-13,09:30,34200,US-China Trade War Escalation – Trump 100% Tariff Threat,"US equities lost approximately $2 trillion in market value on Friday after President Trump announced an additional 100% tariff on Chinese exports in retaliation for China's rare earth export controls (announced Oct 9). China's Ministry of Commerce had required foreign companies to obtain licenses to export products containing more than 0.1% of rare earth minerals. Trump also threatened to cancel his planned meeting with Xi Jinping, set for the APEC summit. China, which controls ~70–90% of global rare earth supply, defended the controls as a sovereign right. The move was described as a potential 'quasi-embargo' on trade.",N/A,down,macro,high
2025-10-13,09:30,34200,COST (Costco) Stock – Broad Market Selloff Impact,"No Costco-specific earnings, guidance, analyst rating change, or insider filing was identified on October 13, 2025. COST traded lower in sympathy with the broad market selloff driven by US-China trade war escalation and government shutdown uncertainty. Costco, as a large-cap consumer staples/discretionary hybrid, likely saw relative outperformance vs. technology and discretionary sectors, but no COST-specific catalysts were identified for this date. The company's next scheduled earnings (Q1 FY2026) was not on this date; its Q4 FY2025 results had been reported on September 25, 2025.",N/A,down,costco,low
2025-10-13,09:30,34200,COST Insider Sale – Claudine Adamo (Prior Week Context),"Around October 24, 2025 (near the Oct 13 period), Costco insider Claudine Adamo sold approximately 3,000 shares on-market at roughly $936/share, representing ~28% of her direct individual holding. This was part of a broader pattern of net insider selling at Costco, with insiders collectively disposing of $27M more than they bought in the trailing 12 months. Note: The exact sale date is approximately Oct 24; no confirmed insider filing was identified specifically on Oct 13.",N/A,down,costco,low
2025-10-13,09:30,34200,"US Government Shutdown – Day 13 (Ongoing, Market Overhang)","The US federal government shutdown, which began on October 1, 2025, continued into its 13th day. The shutdown was the result of Congress's failure to pass a FY2026 budget. It ultimately lasted until November 12, 2025 – exceeding 35 days and becoming the longest full government shutdown in US history. The shutdown suspended most federal agency operations, halted key economic data releases (CPI, PPI, NFP, retail sales), and created an information vacuum that amplified market volatility. Senate Republicans and Democrats eventually agreed to a compromise spending bill on November 9.",N/A,down,macro,high
2025-10-13,09:30,34200,Sector Performance – Tech (XLK) Hardest Hit,"Technology Select Sector SPDR (XLK) fell 4.1%, the worst-performing sector. Amazon (AMZN) was the largest Dow component loser, falling ~5%. Consumer Discretionary (XLY) fell 2.8%. Energy (XLE) fell 2.9%. Only one of 11 S&P 500 sectors ended positive on the day. The selloff was broad-based and driven by trade war fears and data blackout from the government shutdown.",N/A,down,equity_market,high
2025-10-13,09:30,34200,China Rare Earth Export Controls – New Licensing Rule,"China's Ministry of Commerce rule (announced Oct 9, effective Dec 1) requiring all foreign companies to obtain a license to export products containing more than 0.1% of rare earth minerals – whether sourced from China or made using Chinese processing technology – was a major geopolitical flashpoint on this date. China controls ~70–90% of global rare earth supply. The rule threatened supply chains for semiconductors, defense, and auto industries. Trump's retaliatory 100% tariff announcement directly triggered the Oct 13 equity crash.",N/A,down,macro,high
2025-10-13,09:30,34200,Fed Policy Context – No FOMC Meeting or Speech on Oct 13,"No FOMC meeting, minutes release, or major Fed governor speech was scheduled or confirmed on October 13, 2025. The next FOMC meeting was October 28–29, 2025, at which the Fed cut rates by 25bps to a range of 3.75–4.00%. FOMC minutes for the prior meeting were expected mid-week (per the week-ahead calendar, Wednesday of the week of Oct 13–17). Jerome Powell's speech was scheduled for Thursday of that week. No Fed action directly on Oct 13.",N/A,unknown,fed,low
2025-10-13,09:30,34200,Treasury Yields – Risk-Off Flight to Safety,"Treasury yields moved lower (prices higher) on the risk-off session as investors fled equities for safe-haven assets. The sharp equity selloff (-2.7% S&P 500), VIX spike (+31.8% to 21.66), and geopolitical uncertainty from the US-China trade war and government shutdown supported demand for Treasuries. No specific Treasury auction was identified on this date. Exact 10-year yield close not confirmed in search results, but directional move was down (yields lower) amid flight to safety.",N/A,up,rates,medium
2025-10-13,10:00,36000,UMich Consumer Sentiment – October 2025 Preliminary,"The University of Michigan released its preliminary October 2025 Consumer Sentiment index at 55.0, essentially flat vs. September's 55.1 and just above the consensus estimate of 54. Current economic conditions came in at 61.0 (vs. 60.4 prior). Consumer expectations were 51.2 (vs. 51.7 prior). 1-year inflation expectations fell marginally to 4.6% from 4.7%. Long-run inflation expectations held steady at 3.7%. The reading marked the third consecutive monthly decline. Consumers cited high prices and weakening job prospects as top concerns; little evidence that the ongoing government shutdown had moved sentiment.",beat,mixed,macro,medium
2025-10-14,00:00,0,Trump Conciliatory Comments on US-China Trade (Catalyst from Oct 13),"President Trump made conciliatory remarks about China trade tensions on October 13, telling reporters 'I think we're going to be fine with China.' This followed the US imposing an additional 100% tariff on Chinese exports on Oct 10 in response to China's rare earth export restrictions announced Oct 9. UBS and other analysts noted both Trump and VP Vance signaled willingness to negotiate, sending futures higher into October 14's open.",N/A,up,macro,high
2025-10-14,00:00,0,US Government Shutdown — All Major Economic Data Suspended,"The US government shutdown (which began October 1, 2025) remained in effect on October 14. This blocked the release of all major BLS and Census economic data, including: September NFP (originally due Oct 3), September CPI (originally due Oct 15, later pushed to Oct 24), September Retail Sales, JOLTS, PPI, and other reports. The shutdown was the longest in US history and forced the Fed, investors, and policymakers to rely on private/alternative data. This data blackout was a persistent overhang for markets throughout the week.",N/A,mixed,macro,high
2025-10-14,00:00,0,China Sanctions Hanwha Ocean US Subsidiaries,"China sanctioned five US subsidiaries of Hanwha Ocean (including Hanwha Shipping LLC and Hanwha Philly Shipyard Inc.), escalating tensions over alleged involvement in a probe of the Chinese shipping and shipbuilding sectors. This was a geopolitical risk headline during the trading day, though the broader market shrugged it off given Trump's conciliatory trade tone.",N/A,mixed,macro,medium
2025-10-14,06:45,24300,Goldman Sachs Q3 2025 Earnings,"Goldman Sachs reported Q3 2025 net revenues of $15.18B and EPS of $12.25, compared to $8.40 in Q3 2024 — a massive year-over-year beat. Net earnings of $4.10B. Conference call held at 9:30 AM ET. Results driven by strong Global Banking & Markets performance.",beat,up,equity_market,high
2025-10-14,07:00,25200,Wells Fargo Q3 2025 Earnings,"Wells Fargo reported Q3 2025 EPS of $1.66, beating the consensus estimate of ~$1.55 by ~7.1%. Revenue of $21.43B exceeded the ~$21.14B estimate, up 5% YoY. Net income rose 9% YoY to $5.6B. Stock surged ~7.6% on the day. Charlie Scharf was also named Chairman of the Board effective this date.",beat,up,equity_market,high
2025-10-14,07:00,25200,Citigroup Q3 2025 Earnings,"Citigroup reported Q3 2025 revenues of $22.09B, up 9.3% YoY, beating analyst expectations by ~4.6%. EPS also beat estimates. Record Net New Investment Assets of $18.6B for the quarter. Strong beat across both revenue and earnings lines.",beat,up,equity_market,high
2025-10-14,09:30,34200,S&P 500 Market Open — Major Rally,"US equity markets rebounded strongly on October 14, following a sharp sell-off on Friday October 10. The S&P 500 gained approximately +1.6% (closing ~6,654.72), the Dow Jones rose ~+1.3% (~46,067), the Nasdaq surged ~+2.2% (~22,694), and the Russell 2000 climbed ~+2.8%. The rally was broad-based across most sectors. The VIX fell ~12% to approximately 19.03, reflecting reduced fear. Total volume was ~18.2B shares.",N/A,up,equity_market,high
2025-10-14,09:30,34200,Bank Sector ETF Rally — KRE and KBE,"The SPDR S&P Regional Banking ETF (KRE) and SPDR S&P Bank ETF (KBE) each climbed approximately 0.8% in morning trading as investors parsed strong Q3 earnings reports from Goldman Sachs, Wells Fargo, and Citigroup. Bank stocks broadly outperformed the market on earnings beats.",beat,up,equity_market,medium
2025-10-14,09:30,34200,Fed Vice Chair Jefferson Speech — Drexel Economic Forum,"Vice Chair Philip N. Jefferson spoke at the Drexel Economic Forum in Philadelphia on the US Economic Outlook and the Fed's Monetary Policy Framework, occurring on the same day as Chair Powell's NABE address. Reinforced the Fed's data-dependent stance amid the government shutdown's data blackout.",N/A,unknown,fed,medium
2025-10-14,09:30,34200,COST (Costco) — No Earnings or Major Corporate Event,"No Costco-specific earnings, guidance update, dividend announcement, analyst rating change, or insider filing was identified on October 14, 2025. Costco's fiscal Q4 2025 earnings were reported in late September 2025 (prior to this date). The company's next quarterly dividend ex-date was October 31, 2025 (payable Nov 14, 2025 at $1.30/share, declared prior to Oct 14). COST stock likely moved in sympathy with the broad market rally (+1.5%+ broad market). One AnaChart-tracked analyst initiated a Buy rating on COST around this date with a $1,115 price target.",N/A,up,costco,low
2025-10-14,09:30,34200,10-Year Treasury Yield — Market Context,"The 10-year Treasury yield was approximately 4.05% as of October 10 (prior close), down from 4.14% at the start of that week, as investors sought safety amid the trade-tariff sell-off on Oct 10. On October 14, the broad equity rally and Powell's dovish QT-end signals likely kept yields stable to slightly higher as risk-on sentiment returned. No major Treasury auction was identified on this specific date.",N/A,mixed,rates,medium
2025-10-14,09:30,34200,RBC Capital Upgrades T-Mobile (TMUS) to Outperform,"RBC Capital Markets upgraded T-Mobile to Outperform from Sector Perform with a $270 price target (implying ~20% upside), citing solid operating trends and valuation compression. This was a notable analyst action on October 14 in the broader equity market.",N/A,up,equity_market,low
2025-10-14,12:20,44400,Fed Chair Powell Speech at NABE (National Association for Business Economics),"Fed Chair Powell delivered a keynote at the 67th Annual NABE Meeting in Philadelphia at 12:20 PM ET. He signaled the Fed may end its balance-sheet runoff (QT) in coming months, noting 'some signs' of gradual tightening in liquidity conditions. He acknowledged 'downside risks to employment appear to have risen' and left the door open for a rate cut at the October FOMC meeting. He noted the absence of official government data (due to the shutdown) made policy navigation challenging. Markets interpreted the speech as dovish.",N/A,up,fed,high
